地区名,センター,燃える,燃えない,プラスチック、ペットボトル,カン,ビン
安島,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
旭台,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
油屋,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
安養寺,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
油為頭,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
荒町,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
朝陽,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
朝陽2丁目,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
赤坂,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
愛宕,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
朝日,坂井市環境推進課,月 木,水1,水2 水4,水2,水4
朝日住宅,坂井市環境推進課,月 木,水1,水2 水4,水2,水4
相生,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
池上,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
石丸,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
池見,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
岩崎,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
石切場,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
磯部新保1区,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
磯部新保2区,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
磯部福庄,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
磯部島,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
磯部島2,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
今市,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
板倉,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
一本田中,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
一本田,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
一本田新1区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
一本田新2区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
一本田新3区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
一本田新4区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
今福,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
今福2区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
泉,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
猪爪,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
猪爪新1区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
猪爪新2区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
猪爪新3区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
乾町,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
一本田福所,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
一本田福所2区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
乾下田,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
石上,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
今町,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
井　向,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
石　塚,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
石　仏,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
いちい野,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
いちい野北,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
いちい野中央,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
今井,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
運動公園,坂井市環境推進課,月 木,水1,水2 水4,水3,水2
運動公園三丁目,坂井市環境推進課,月 木,水1,水2 水4,水3,水2
請地,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
宇随,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
牛ケ島,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
上田町,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
宇田,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
内田,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
江留上大和,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上本町,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上緑,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上日の出,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上旭,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上中央,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上昭和,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上新町,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留上錦,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留下西,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留下宇和江,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留下屋敷,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
江留中,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
駅前　,坂井市環境推進課,月 木,水1,水2 水4,水2,水4
沖野々,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
温泉,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
大森,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
岡,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
女形谷,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
小黒,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
沖布目,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
豊　島,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
大　針,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
大　牧,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
大関大正,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
大味上,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
大味中,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
大味下,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
大味春日,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
折戸,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
上横,坂井市環境推進課,月 木,水1,水2 水4,水3,水2
上真砂,坂井市環境推進課,月 木,水1,水2 水4,水3,水2
梶,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
加戸東,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
加戸西,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
鐘場,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
鴨池,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
金井,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
川崎,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
観音,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
上西,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
上緑,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
上旭,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
上台,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
上錦,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
覚善,坂井市環境推進課,火 金,水1,水2 水4,水3,水4
覚善東,坂井市環境推進課,火 金,水1,水2 水4,水3,水4
上金屋,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
